A,W,MT,ID
256,16,1486,4
256,16,920,4
256,16,823,4
256,16,1158,4
256,16,1310,4
256,16,866,4
256,16,1136,4
256,16,1398,4
256,16,1130,4
512,64,1227,3
512,64,942,3
512,64,781,3
512,64,836,3
512,64,713,3
512,64,1289,3
512,64,747,3
512,64,893,3
512,64,718,3
128,16,1039,3
128,16,885,3
128,16,726,3
128,16,886,3
128,16,704,3
128,16,1116,3
128,16,927,3
128,16,1179,3
128,16,662,3
256,32,1157,3
256,32,963,3
256,32,649,3
256,32,788,3
256,32,920,3
256,32,971,3
256,32,635,3
256,32,753,3
256,32,774,3
128,64,621,2
128,64,565,2
128,64,683,2
128,64,566,2
128,64,551,2
128,64,864,2
128,64,970,2
128,64,726,2
128,64,879,2
128,32,1344,2
128,32,0,2
128,32,915,2
128,32,845,2
128,32,837,2
128,32,726,2
128,32,739,2
128,32,802,2
128,32,789,2
256,64,796,2
256,64,579,2
256,64,662,2
256,64,637,2
256,64,633,2
256,64,865,2
256,64,684,2
256,64,579,2
256,64,649,2
512,16,1257,5
512,16,1289,5
512,16,936,5
512,16,2223,5
512,16,1492,5
512,16,1201,5
512,16,1186,5
512,16,1856,5
512,16,1679,5
512,32,782,4
512,32,801,4
512,32,1326,4
512,32,1081,4
512,32,1263,4
512,32,1542,4
512,32,1479,4
512,32,1488,4
512,32,1167,4
