A,W,MT,ID
512,16,1178,5
512,16,1039,5
512,16,1052,5
512,16,984,5
512,16,1310,5
512,16,1080,5
512,16,1014,5
512,16,948,5
512,16,983,5
256,64,653,2
256,64,566,2
256,64,572,2
256,64,543,2
256,64,595,2
256,64,563,2
256,64,579,2
256,64,564,2
256,64,565,2
128,64,446,2
128,64,460,2
128,64,473,2
128,64,432,2
128,64,454,2
128,64,433,2
128,64,432,2
128,64,453,2
128,64,474,2
256,32,767,3
256,32,761,3
256,32,745,3
256,32,670,3
256,32,739,3
256,32,669,3
256,32,670,3
256,32,634,3
256,32,607,3
128,32,571,2
128,32,509,2
128,32,516,2
128,32,545,2
128,32,515,2
128,32,474,2
128,32,531,2
128,32,501,2
128,32,524,2
512,64,718,3
512,64,726,3
512,64,683,3
512,64,697,3
512,64,920,3
512,64,865,3
512,64,739,3
512,64,739,3
512,64,662,3
128,16,913,3
128,16,732,3
128,16,635,3
128,16,606,3
128,16,796,3
128,16,815,3
128,16,607,3
128,16,724,3
128,16,628,3
256,16,975,4
256,16,1040,4
256,16,885,4
256,16,927,4
256,16,761,4
256,16,843,4
256,16,754,4
256,16,1059,4
256,16,844,4
512,32,781,4
512,32,760,4
512,32,635,4
512,32,698,4
512,32,752,4
512,32,739,4
512,32,628,4
512,32,697,4
512,32,656,4
